hmid,cleaned_hm,predicted_output
88671,"I thought I lost my expensive phone, but a nice person found it and was able to get in touch with me so I could get it back.",achievement
88672,I went to a baseball game with friends.,bonding
88673,"I was finally able to go to the bars with my friends, because I turned 21 years old.",achievement
88674,One event I would describe as making me happy was when I had talked to my friends about some problems that were bothering me as of late.,affection
88675,My four-year-old played soccer today and scored a goal. He was so excited that he ran up to me and gave me a hug.,affection
88676,One thing I was very happy to do was getting my child pee around 0400 hrs every morning that has barred him from bed wetting. ,affection
88677,The coach of the basketball team at the school I work for thanked me for being a good fan of the team.,achievement
88678,I finally found cheap flip flops that I can use to make crocheted slippers.,achievement
88679,"*i got married to my love.
",affection
88680,Helping a worker out today when they were stressed,achievement
88681,I went to my friend's concert.,bonding
88682,"Last night I finished my last ever class in seminary, and I am done with school!",achievement
88683,My family surprised me for my birthday.,affection
88684,Having a giant beer at the end of the day.,enjoy_the_moment
88685,One event that made me happy is when I created my first web business.,achievement
88686,"The offsite with colleagues was great fun. We had stimulating discussions.
",bonding
88687,I WENT TO MOVIE,affection
88688,I got a medal for finishing third in a marathon race.,achievement
88689,big happy moment,affection
88690,I got ice cream last week.,achievement
88691,I was very happy to find a local dentist that I can go too that is covered by my dental plan.,achievement
88692,Got a new 4ktv for for my pc and playstation plus,achievement
88693,I WENT TO TEMPLE,affection
88694,I received my shoes and veil for my upcoming wedding. The veil was made with french lace and was everything I asked for. My shoes were to die for. They were better in person than online. They are flats with a square toe and satin ribbons that wrap around your ankles. They look EXACTLY like real ballet shoes! I couldn't stop staring at them and had to force myself to stop wearing them. That night I went online and bought another pair to wear immediately! ,affection
88695,I watched second part of my favorite movie 'Guardians of galaxy'.,affection
88696,my love success so i am very happy,affection
88697,"I wore my new shoes today for 8 hours straight, and they were very comfortable and my feet did not ache by the end. ",achievement
88698,My pet is playing with my child's and me,affection
88699,me and friends are going to trucking and is the most funniest moment in my life and it I am really happy enjoy my life,affection
88700,I had regrown a new toenail unexpectedly.,achievement
88701,My ex girlfriend took me to a San Antonio Spurs game in Indianapolis. We ate at St. Elmos before the game. We sat courtside at the game. We were together for five years. I miss her terribly.,affection
88702,ALL MY FAMILY IS ARE GOING TO THE TEMPLE . MY MOTHER IS BROTHER'S AND SISTER'S COME TO THE TEMPLE .,affection
88703,Participated in an environment protection soical activity organized by my employer,achievement
88704,One thing that made happy recently is when I scored a free lunch at a local restaurant in my town.,affection
88705,Yesterday I  got a gift with my huband for my birthday.,affection
88706,"I feel I have lost all the happiness in my life. Though I am not sad, I get bored of anything I do and I don't want to try out anything new in my life. I am averse to any kind of change occuring in my life.",affection
88707,I had lasagna for lunch and it was really yummy.,enjoy_the_moment
88708,When I finally trimmed down my long beard to a very short one. I can now feel the wind in my face!,achievement
88709,I joined  in the keyboard class and had nice training with rhyme song.,affection
88710,I AM COLLEGE STUDENT I PASSED FIRST CLASS SO I AM VERY HAPPY,achievement
88711,My daughter won a leadership award today at school and made me proud of her.,affection
88712,"A happy moment for me was a few days ago when I watch my son win the final competition, he worked so hard and took many steps to get to the finals. ",achievement
88713,I WENT OT TEMPLE,affection
88714,"The other day, the lady who is the owner of the restaurant I have breakfast daily charged me more by mistake. There was a rush and maybe she did not notice what she did. I too was not focused. But to my surprise, she smiled at me today and handed me the difference she had charged more. I said even I hadn't noticed it. There are still honest people in this cruel world.",affection
88715,Listening to new music from my favorite band,affection
88716,In the last 2 months I was able to begin a new eating plan that allowed to feel happier and healthier.,achievement
88717,"MY PARENTS WEDDING DAY, I AM AND MY FAMILY MEMBERS WITH GOING TEMPLE. THERE IS VERY ENJOYING THAT DAY.",affection
88718,Went to Walgreen's and made a purchase and had enough reward points built up to cover the whole purchase.,achievement
88719,my son started to go play school ,affection
88720,I got to shoot bows with an old friend from high school one evening.,affection
88721,I found out that I am being considered for a promotion.,achievement
88722,I saw a fantastic cast of Les Miserables on West End with the only person I know who loves Les Mis as much as I do! ,affection
88723,I stuck to my budget for a week.,achievement
88724,I went to look at cars with my dad. ,affection
88725,I AM GOING COLLAGE  FESTIVAL   DANCE FUNCTION  IN VERY HAPPY MOMENT IN MY LIFE. IN REALLY ENJOYED ,affection
88726,FIRST DAY JOINING MY COLLEGE. WELCOME PARTY THAT DAY VERY HAPPY OF THAT DAY.,affection
88727,"When I explained to my friend why he hurt my feelings, he understood how I felt and apologized.",affection
88728,I was having car trouble for a while. When I went to get it checked out I was sure it would be too expensive for me to fix. It ended up being relatively cheap.,affection
88729,I got two job offers on the same week.,achievement
88730,I paid off one of my credit cards.,achievement
88731,I met my 2 childhood freinds and we enjoyed a lot talking some old memories and had so much of laugh and fun.,bonding
88732,MY FRIENDS GOING TO PARK AND TOURS I WELL EXISTING THE PLACE OF THE MOMENT SO I WILL REMEMBER THE LIFE.,affection
88733,I received an unexpected present from my friend,bonding
88734,My ability is very sensitive and capable to accept at any situation . i can easily help to others . last month my friend had very financial problem . at the situation i had help to my friends . so my friend is very happy and i am also . it make me felt very happy and i would be proud of myself .,achievement
88735,I made a joke in front of a large group and everyone laughed. ,affection
88736,I ate a chicken biscuit and it was yummy.,enjoy_the_moment
88737,Two Months before i attended Book Fair Festival Event and i purchased a rare books which makes me so very happy.,achievement
88738,My husband and I went on a movie date the other night. It's been awhile since we've been able to do that. The time we spent together made me happy.,affection
88739,My husband and I successfully hung a pot rack from the ceiling in the kitchen of our new house after making the necessary modifications in the attic.,affection
88740,"Srisailam, the much awaited bike trip, finally happened and this time it was only bigger and better than the previous one. We gathered at our rendezvous and took off at 2 PM in the afternoon. It took us 6 hours to reach our destination, all thanks to the numerous breaks and the photo sessions we had on the way.",affection
88741,I purchased a new bicycle and rode several miles for the first time in almost a decade.,achievement
88742,Taking a weekend trip to Chicago made me really happy.,affection
88743,"My seven year old performed well in a mock triathlon and completed the swimming safely, biking swiftly, and running effortlessly.",achievement
88744,My wife won a trip at work and it made me happy to see her happy.,affection
88745,"I got to see my parents for dinner recently.  I moved to a new city about 2 months ago and this was the first time I had seen them since I moved.  I got a job and an apartment, so things are going a lot better for me than the past year.  It was good to see them without all that other stuff lingering in the background",affection
88746,I found a quarter in the soda machine.,achievement
88747,"There was my own family and three of my friends and their families as well, so it was quite an occasion. We had this family lunch at a local restaurant which we had booked for the afternoon. It was a really special time having all the most important people in my life together at the same time.",affection
88748,My dad was released from the hospital after spending a week in icu.,affection
88749,"so a couple of months ago I graduated from university - it was a really happy time for me, and although my family and I had already celebrated finishing my degree successfully, the official graduation day ceremony was really quite special, and a very happy day, for me and my friends. It was one of the last times that all of us were together because shortly after that two of our group left to go abroad and they'll be there for about two years before they come back home.",affection
88750,My daughter started eating real food and not baby food anymore. ,affection
88751,Grabbed dinner with my fiancee in napa for her birthday,affection
88752,My grandmother had a vacation in our house for two weeks.,affection
88753,"I received a phone call informing me I was accepted to my grad school of choice, with scholarship funding.",achievement
88754,The Cincinnati Reds beat the Yankees yesterday and I was able to catch some of the game last night. ,achievement
88755,I finished building my motorhome and started traveling across the US.,affection
88756,I took part in the 400m race from my company and was a runner up.,affection
88757,I enjoyed a long bike ride with friends.,affection
88758,I passed my exit exam in nursing school two weeks ago.,achievement
88759,Last day I talked with my son for a long time. He said that I am a good father. I felt proud.,affection
88760,I am working in a financial sector.I have been working there for the past 2 years.Recently i got promotion in my position.I was promoted to middle level management.I got increment in my salary.i'm very happy at that moment.I felt very proud at that moment.,achievement
88761,I booked a flight to go visit my boyfriend who lives in Europe!,affection
88762,Last week i had a basketball match with other college team. The game was tough and very neck to neck. And we won the match. That was very happy moment for me.,achievement
88763,I went to the beach with my wife.,affection
88764,I'm almost caught up with paying off my credit card!,achievement
88765,I hope you all had a lovely past week and are currently having a great start to this week. So the craziest thing just happened to me last weekend,achievement
88766,"Seeing my dog who has end-stage cancer, running down the sidewalk towards me, acting like she wasn't sick at all.",affection
88767,i got new laptop,achievement
88768,I finished my last final of college on Tuesday.,achievement
88769,I retained my Gold membership at Starbucks.,achievement
88770,I received the new Ryobi garage door opener for my birthday and finally got it installed by myself.,achievement
88771,"the happiest moment in my life the happiest moment in my life is when i'm with someone special,shes been in my life for almost 6years.whenever i'm with her i felt complete,yes it may sounds weird but it is true. ",affection
88772,I worked on a writing project,achievement
88773,I went shopping for new clothes for the summer.,affection
88774,I won an online gaming competition with friends.,bonding
88775,The day with my parents,affection
88776,My good friend came back from India today. His visa expired in March and so we were uncertain with the current political climate if he would be able to return but he has! So happy!,affection
88777,my aunt made a lovely cake for my mom on her birthday for the first time,affection
88778, i'm still the guy who's madly in love with her.i could still remember the sweet smiles that picture in her face.,affection
88779,Went to St. Pete Beach with my a group of friends for a birthday.  ,bonding
88780,1 month before i went my old school and i saw my old teacher and i am very happy to met him nice moment,affection
88781,Being asked to be in a long time friends wedding.,bonding
88782,"I exciting day for anyone who gets accepted into their number one choice for college. I remember getting a call from my admissions counselor before I received my acceptance letter, and he told me that I had gotten it.",achievement
88783,Getting an internship at a company I admire made me happy.,achievement
88784,Try to help somebody and spread smiles around you. Your soul will get the real 'tonic' and you will get back on the path of happiness.,affection
88785,i got a job in abroad ,achievement
88786,my parents and I went to Los Angeles for my senior year spring break and sat on the freaking Friends! ,affection
88787,me and my friends gone to a restaurant last month. there was a cute and good speaking server as a girl. she don't know our language. but my speake and easily to her. we are shocked. so i cant forgot that moment.,affection
88788,When I get a first salary and my parents were very happy and made a most memorable moment,affection
88789,My sons first t-ball game a couple of days ago.,affection
88790,"My much awaited desired prolonged Velankanni trip.

One of the greatest pleasures of being in Chennai is your proximity to a lot of one day getawaysa| and nothing more exciting than planning a trip.

Even though we are in the first quarter of the year I have exhausted my leaves due to our clichA(c) dialogue personal issuesa.

Now that canat stop me from holidaying ;-)

When I sat down to plan the places to visit on my bucket list the first one that popped up was Velankanni, to visit the shrine of lady of good health.

In times of sickness this was always on my mind that when I get back to optimum health I will go and stand face to face with this mother as a sign of gratitude.

Hailing from down south in Kerala the trips to Velankanni were often registered as tedious, dirty, long trips.

I decided to create a better memory and enjoy my trip.

I did my research on climate to start with, modes of transport, hotels food, mass timings, and other tourist spots around Velankanni.

For the last two weeks I have been doing my research on the internet about Velankanni and speaking to the best hotels available for tariffs.

Something or the other came up and my two day leaves were not working out.

I planned a one day trip.

Departure - 10pm Chennai the busy Koyembedu bus stand

Arrival at the holy soil a 4.30 am.

I rushed back from my hectic weekend at work and quickly packed my backpack with clothes and other necessities, cookies to munch on and water.

Not to give extra strain on my back I preferred a Sleeper bus. There were hardly buses to Velankanni (surprisingly).I took a non a/c sleeper bus as A/c was not available. The humidity currently is beyond words could explain. I kept my fingers crossed that I should not fall ill or claustrophobic in the bus.

I thanked all the bloggers and their wonderful reviews which were so helpful choose the bus and hotel I wanted to stay in.

I would be using the hotel only during the day to refresh and catch some sleep which I have been deprived of.

Koyembedu and travel from that super busy noisy bus stand was not new to me. I sat down waiting for my bus and remembered my college days of how reckless and daring I was to walk in to koyembedu buy a random ticket to Nagercoil and further take buses to Trivandrum.

Today in spite of all the planning I was worried,

The bus reminded me of a fish .Tall and sleek and way too silvery.

Even though these thoughts happen on my thought bubble I laugh out loud, followed by an embarrassment.

The sleeper was an upper berth and had sliding windows. The bus started to move and the air fought to gush in.

I didnt want to reach velaknni at 4.30.I prayed hard for a delay in departure contradicting to the prayers of fellow passengers.

I had a small talk with the bus driver and conductor and asked him if he could drop me  at amathakulama(this was the landmark the hotel reception gave me.

After a long halt at a toll before reaching Velankanni the bus pulls in to Velankanni by 5.30.The sun was out and I was a happy child. A proactive bus conductor asks for a couple of directions and drops me at VPN hotel in Matakulam or Our ladyas tank.

The bookings we done prior to my visit and they offered 10% discount plus complimentary breakfast after my sweet talk and enquiries.

The hotel was relatively new and the rooms were spotlessly clean .

I hit the bed and woke up at 8.30am.A quick shower and nibbled through a bit of everything on the buffet, took my camera and stood outside the hotel.

Being very enthusiastic and experimental that morning, I took a shortcut to walk to our ladyas tank.

I walked and walked through a dry dusty road with no signs of a tank. Occasionally there was a signage pointing to the direction I was walking to. I finally reached my destination. There were trees with cradles tied all over with bright yellow threads.

There was the tank with a metal covering and a cross and Hail Mary stencilled on it. I could look through the small holes and see a reflection of it in the water beneath.

I walked towards the Shrine of our lady of Good health and by then the sun was at its peak. Sipped from a bottle of water I was carrying and I could see devotees crawling towards the tank from the church as a belief. I saw an exhausted woman in the verge of collapsing on the sand. She drank water from my bottle and I proceeded to the church. There was a malayalam mass happening at that time and I took that as a sign from Mother Mary Welcoming me to her abode.

I sat on the floor outside as the church was full of Malayalam speaking devotees. Post the service I entered the church and I quickly tried to remember the names I had registered in my mind of people who needed special blessings.

I felt that I was pressurised to pray and not to forget.

I did my generalised template of prayer and prayed for My parents, grandparents, uncles ,aunts, cousins, their children, relatives, neighbours in all houses I have lived in, people I have met in all cities that I have lived in, my school, colleges, juniors , seniors , classmates, faculties, teachers, mentors, guides,doctors,people who are unwell, troubled, colleagues at work, bosses.

I have always found myself in a very difficult spot trying to pray in a busy church. I never get a Holy feeling or connect.

There is always suffering around.

Visited a museum near the church with pictorial depiction of how mother Mary appeared to the milk man .The church was founded its founding is attributed to three miracles: the apparition of Mary and Jesus to a slumbering shepherd boy, the curing of a lame buttermilk vendor, and the survival of Portuguese sailors assaulted by a violent sea storm.

I walked through the dirty crowded humid roads with fruit, shell, and pirated CD vendors and reached the beach.

The sipped some tender coconut water and clicked a few pictures of the ocean.

I ate raw mangoes and cashew apple.

The resinous cashew juice burnt my stomach as I walked back to where I could take a rickshaw back to the hotel. I ordered food to the room and slept. I was content that a long term dream came true and I was relaxed after the good sleep and food at the hotel.

I lay on the upper berth looking at the beautiful full moon from the window and the wind stroking my hair getting recaps of the day which has gone bya|in spirituality and relaxation. I would probably not want to go back to Velankanni but I have memories well etched.
",affection
88791,I am going to Kenya next month and that moment makes me feel happy.,enjoy_the_moment
88792,"I certainly remember, my mom and I were at a country club pool to have a relaxing day in the sun. Everyone at the pool was on their cell phones finding out about the news, and my mom was more excited than anyone there! I was certainly excited, too.",affection
88793,Seeing how happy my daughter was at her birthday party made me happy.,affection
88794,My little sister got married to her boyfriend last month.,affection
88795,I got a new job within the past three months after looking for about 6 months. ,achievement
88796,Purchased dress for my friends marriage.,affection
88797,I was happy when I passed all my college classes this semester with the grades I was seeking.,achievement
88798,Today I started a new task on my job.,achievement
88799,"I went to Coachella weekend two and I was anxious for it the minute I bought the ticket. I've been stressed due to work, school and relationships, it was very relieving to be free from it all for a week. It was nice to be able to socialize with my friends unrelated to school or work, but to simply turn off our engineering brains for once and to just have fun. ",achievement
88800,Yesterday I went to a long time friend's home and spent about 3 hours chatting with the family and quite a bit of that time talking to a beautiful girl.,affection
88801,I got incentive for my performance and i am happy for that moment.,achievement
88802,"My favorite football team performed well at the NFL Draft, filling roster holes and avoiding dumb trades.",achievement
88803,"On May 4th, I turned 21. ",enjoy_the_moment
88804,Something that made me happy in the last 3 months would have to be when i went and visited my mom who lives in another state.,affection
88805,i went to meet my cousin sister who came from her town and we discussed some memories and future happenings . i feel very much happy on that day.,affection
88806,"We all are here for a limited time in this world but we all can transform this time in unlimited happy moments and memories if we learn to cherish every single moments in the life

",affection
88807,Paying off a big loan.,achievement
88808,My wife said my cooking has gotten very good recently. ,affection
88809,I went out of station for the vacation and enjoyed by seeing the nature.,affection
88810,"I went on a week-long vacation to Asia in April. It was a very cool experience, enjoying the street foods, and experiencing the night life as well as taking pictures of great scenery.",affection
88811,i like this survey it is making me very happy as always and i m happy for that god help me and we really appreciate this requester for doing this and im getting something good out of it.,achievement
88812,"A new supermarket opened up extremely close to my house, after 8 years of the original building sitting abandoned.",affection
88813,I am very happy when my younger brother is open a new business to expand his business.,achievement
88814,I earned an extra $400 in April doing extra work in my free time.,achievement
88815,Last week I gave back the money I stole from my father.,achievement
88816,WE CELEBRATE OUR WEDDING DAY FUNCTION ON LAST MONTH.,affection
88817,I did a favor for a friend,bonding
88818,I got offered a full-time position that I had been hoping for at my job today. ,achievement
88819,I got a big bonus at work. I was working on a very important project since months and it got over. Our client was very happy with results and company awarded me for this.,achievement
88820,"When I got my new car that I had been saving up for, for the last few years.",affection
88821,"I VERY CLOSED TO MY FAMILY, BECAUSE ALL OF RELATIVES TOUCH  TO TRUTHFUL. VERY HAPPY FOR THIS FAMILY RELATIONSHIP ...",affection
88822," There has been a transition over time from emphasis on the happiness of virtue to the virtue of happiness.[3] Since the turn of the millennium, the human flourishing approach, advanced particularly by Amartya Sen has attracted increasing interest in psychological, especially prominent in the work of Martin Seligman, Ed Diener and Ruut Veenhoven, and international development and medical research in the work of Paul Anand.",achievement
88823,Seeing this particular HIT so many times recently,affection
88824,I had a nice chat with my son about the alphabets.,affection
88825,"In the last three months, the event that has made me the happiest was finding out my boyfriend got a better job in the city I live in. ",achievement
88826, I WENT TO TEMPLE,affection
88827,The result of Bsc. Botany fourth semester exam was published and my wife passed with good marks.,achievement
88828,WHEN WE WENT TO THIRUPATHI 2 MONTHS BACK  WE HAD  VISITED DIFFERENT PLACES THAT IS THE WONDERFUL MOMENT OF MY LIFE,affection
88829,Me and my husband went to our Family Temple after a long period. I am very satisfied about this trip. Very much enjoyed.,affection
88830,Finally getting all the mother day gifts out the way and not waiting at the last minute.,affection
88831,the last 3 month can easly and enjoyed happy moment,affection
88832,An old patient of mine sent me a little note for Nurses Week on Facebook and that is what made me happy.,affection
88833,"yesterday heavy rain time, we played foot ball in street. in our street, too much water stored because of rain. so played football with friends. so many kicks with water give super enjoyment",affection
88834,"Two months before me and my girlfriend Jessica went to theme park for summer enjoyment. We enjoyed lot and my girlfriend enjoyed with lot of water rides and swimming pool water. She felt swimming pool water is not clean because many peoples mingled with that water. But i advised her this is public place, this is not our home. We should adjust it so much. We shouldn't expect more clean her. Theme park employees will clean the water after that visiting time. Finally she listened all of my words and she agreed with my statements, She never make argument with me, She understood everything easily. That's very good of her. I felt very happy about her understanding. Thank you. ",affection
88835,3 MONTHS BEFORE MY 4 MONTH BABY CALL MOTHER SO I AM VERY VERY HAPPY THAT MOMENT,affection
88836,I was happy when the LA Dodgers won the game I attended.,achievement
88837,MY BEST FRIEND MARRIAGE PARTY,bonding
88838,MY BIRTHDAY CELEBRATION ON 14/03/2017,affection
88839,MY HUSBAND BIRTHDAY,affection
88840,MY SISTER MARRIAGE FUNCTION ,affection
88841,MY SISTER MARRIAGE FUNCTION,affection
88842,I got some new houseplants for our apartment that really livened the place up.,achievement
88843,MY RESULT MAY 12,affection
88844,MY FRIEND MARRING,bonding
88845,MY DAUGHTER BIRTHDAY CELEBRATION,affection
88846,"
MY BEST FRIEND MARRIAGE PARTY",bonding
88847,I WENT TO KODAIKKANAL FOR OCCASION,affection
88848,"I went to a restaurant that's normally very busy, but there was no line.",affection
88849,MY SISTER MARRIAGE FUNCTION ,affection
88850,"The day my daughter participated in an orchestra for the first time, felt very happy and proud looking at her, singing on stage.",affection
88851,I recently got a check back from a settlement against a bank that was completely unexpected and I didn't even know it was coming. It allowed me to get some new books I've been wanting.,achievement
88852,MY BEST FRIEND MARRIAGE PARTY,bonding
88853,"Last night my girlfriend made me a grilled ham and cheese sandwich, and then we played Overwatch together.",affection
88854,I visited my parents after a year and had a nice time during my stay. ,affection
88855,Last month I went to a vacation with family to Miami. We had a great time there. We enjoyed a lot and it was one of the best experience. I enjoyed a lot as well as kids enjoyed a lot.,affection
88856,Yesterday was an awesome weather that made my whole day.,affection
88857,Watching Full metal alchemist.,affection
88858,An event that made me happy in the past three months was playing with my dog in the dog park. ,affection
88859,"When My daughter scored 90% marks in her 9th Std, I felt very happy.  Everyone was very happy that day.  We all celebrated the day.  Her efforts and hard work was the main reason to score 90%.  I am very happy and very satisfied.",affection
88860,I enjoyed dancing in my friend's wedding ,bonding
88861,I got married last month.,achievement
88862,"It's never about the place. It's about the people you spend time with. I have never been much happier. Whenever I went to Tirupati and was traveling back to Bangalore, I felt like I had failed my most important exam, maybe I was missing a train. I cried like a small baby every time I left that place. This time it was different, this time I was happy. I was myself, my true self. Peace!",affection
88863,Getting my community supported agriculture box of produce made me happy.,achievement
88864,"I planted some plum, pear and cherry trees in my garden.",achievement
88865,when my sister in low got married,affection
88866,Posted my new creation on my shop,achievement
88867,There was an episode of better call saul and me and my friend thought it was amazing.,bonding
88868,My wife gave birth to a baby boy and this made me happy.,affection
88869,My boyfriend took me on a romantic date.,affection
88870,I went on a romantic date with my girlfriend.,affection
88871,I WANT TO KANNIYAKUMARI AT CHRISTMAS CELEBRATION AND ALSO JOIN US FAMILY FRIENDS THAT MOMENT MADE ME HAPPY. ,affection
88872,"Two months ago i went to hill station for a picnic with my friends and family members. We arranged for a camp fire, there we had a lot fun like dance, music, etc., and enjoyed lot in that night.",affection
88873,"After much planning and 11 years since my last trip, my sister and I went ""home"" to Alaska.",affection
88874,My sons father is almost done with school,affection
88875,"On March 29th, 2017, my live-in boyfriend asked me to marry him while we were sleepily talking in bed.",affection
88876,"Last friday my close friend suddenly took me to a brand new icecream mall, which made me feel very very happy.",achievement
88877,I bought an album called symphonic fantasies. It's features orchestral music from some Japanese composers I really enjoy.,affection
88878,"One of the happiest moment was my sister,s wedding.it was 3 months before and the whole family was so happy for her.",affection
88879,I sold my first houses as an real estate agent.,achievement
88880,My daughter speaks very sweet with me.,affection
88881,I started my new architecture firm around two and half months back and that day I was very happy since it was set up with my own money.,achievement
88882,Mom came by and cook us a week worth of dinner so we can spare ourselves some headache.,affection
88883,"Bubble baths makes me feel happy.
Being cuddled in bed when itas raining outside.
When someone plays with your hair.",affection
88884,One of my relative's marriage function. At that time i have met my family friends and relatives. That is one of my best moment. ,affection
88885,When I went travelling with my family.,affection
88886,I was awarded the best performer of the team in April in the annual Townhall. Such a happy moment for me. I was so happy.,achievement
88887,My father sold my motorcycle and sent me a check.,achievement
88888,I was very happy when my neighbor baked some cookies for me a couple of days back. ,affection
88889,I went to the Dallas Stars game with my uncle and it was pretty awesome.,achievement
88890,In the past three months I received a great bonus at work and it made me very proud and happy.,achievement
88891,I got $200 refund check from a company for a payment error.,achievement
88892,got a new role in my office,achievement
88893,past month me and my boys gang went for a leisure trip which is really awesome experience.,affection
88894,My childhood best friend called unexpectedly after I hadn't heard from her in a long time.,bonding
88895,The offsite with colleagues was great fun. We had stimulating discussions.,bonding
88896,Two days before my boss appreciated my work and gave a small gift.,achievement
88897,Packing up to go home from college earlier today.,achievement
88898,I went on a short road trip with my friends and we had a lot of fun.,affection
88899,"For the past few weeks I've been getting all of my work done early in the morning, which allows me to take the rest of the day off. It's been fantastic.",achievement
88900,I felt very happy when I was offered gift by my wife on my birthday,affection
88901,WE WENT TO MOVIE.,affection
88902,I received a promotion on my job,achievement
88903,I received a bonus payment from my boss,achievement
88904,I bought a new home,achievement
88905,I got a recognition for a complex job that I successfully completed in my office/,achievement
88906,I was happy when I had a relaxing moment after work and put on a facemask and watched tv.  ,achievement
88907,"After my first exam in ca final, it went very very well. I felt happy particularly because i did not prepare the exam to my expectations and question paper was very comfortable for me so i felt very relieved and happy after coming out of the exam hall.",achievement
88908,I fixed my cars motor mount with my dad.,affection
88909,"I went for a run in the early morning, and when I was running around a park, I came across a cute toad in the grass. ",affection
88910,I cleaned up a very greasy range hood yesterday. It took me hours but I got it done.l,achievement
88911,"my uncle lived in mumbai. when i receive a call from my uncle, i really felt happy to speak to them. their childrens spoke me with their baby voice. it's very nice to hear on that time.",affection
88912,I bought two very nice stainless steel kettles which have to be quite durable and long lasting.,achievement
88913,got a gift from my uncle,affection
88914,I found a good song on youtube.,achievement
88915,I received my prepurchased copy of Nier Automata for the PS4 via the mail.,achievement
88916,I finished a good workout.,achievement
88917,"The moment I heard that I had been awarded a scholarship based on my performance in the board exam, I became the happiest man in the world.",affection
88918,I purchased a new car and paid for half of it in cash.,achievement
88919,I felt happy when I was named hiring manager at work.,achievement
88920,MY BROTHER WAS SELECTED IN MULTINATIONAL COMPANY IN CAMPUS INTERVIEW AND HE IS GOING TO WORK IN ABOARD AND IT WAS THE BIGGEST DREAM FOR HIM ,achievement
88921,I got good grades in my semester exam,achievement
88922,My neighbor made me some cookies.,affection
88923,I watched a movie with my friends.  It was fun and excited.  ,bonding
88924,"I stay away from my hometowna. Every time I get an opportunity to go back home it's the happiest moment. Recently I was at home and yes that's one of the happiest moments but the happiest moment of all for me is when I get to eat some nice food prepared by my mom. Food at home is always fulfilling, and that's what makes me happy.
This is one small happy moment in the past 3 months.",affection
88925,My ex husband moved out of town and away from the kids.,affection
88926,I'm an hourly worker with variable wages (private tutor) and I had a week with a lot of high wage hours and made more than I normally do. ,achievement
88927,I BOUGHT A NEW BIKE,achievement
88928,I was happy to hang out with my gym buddies for a few drinks last night. ,bonding
88929,Got promotion in my job. It was unexpected and also got 50% hike,achievement
88930,My plant in my garden beared some tasty fruits and it made me happy,affection
88931,"Seeing my baby growing up in the last 3 months is the happiest time in my life. He was born on 22nd January this year and approaching 4 months old soon. When he was 2-month old onwards, he learnt to smile and tried baby talked to us. Every night before we sleep I will lie beside him, he will do cute smiling faces to me and it never fails to make me happy. ",affection
88932,"Yesterday, I had pancakes for breakfast, after a long time.",affection
88933,I bought a new 50 inch Smart TV.,achievement
88934,I got a free pack of gum at work as a thank you for educators week.,achievement
88935,Being recognized for outstanding work during our monthly division meeting by my Division Director.,affection
88936,I was able to watch a movie I have been waiting for a long time.,affection
88937,Iam going today wonderla,affection
88938,Join post graduate,achievement
88939,traveling to netherlands after my marriage,affection
88940,Purchased a washing machine for washing my clothes.,achievement
88941,I AM VERY HAPPY  TO THE MOMENT OF MY DAUGHTER'S SCHOOL FUNCTION. ITS VERY BEAUTIFUL.,affection
88942,"Last week, Our class had to perform various engineering experiments in our university. These experiments were related to internal combustion engines. Out of all the students only a handful of people were able to perform these experiments successfully. I was one of them and i also topped the oral exams. It feels good when you know that you are better than the herd and you are genuinely passionate about the subject.",achievement
88943,i am very happy to go to the party with my friends. its very interesting  for me.,affection
88944,Me and my family had gone to attend the marriage of my friend. I felt very happy going there. We enjoyed the friend's marriage.,affection
88945,I went to my cousin's graduation and it made me happy to see him graduate.,affection
88946,A man with tail,affection
88947,I was told to have a good day but an employee as I went through the drive through at a fast food place.,affection
88948,I spent some one-on-one time with my son playing card games.,affection
88949,"Less than a month ago, I earned my masters degree and felt so grateful to be finished.",achievement
88950,School came to visit my daughter as she didn't talk much when I went to the school and she was zooming around and talking a lot which made me happy,affection
88951,"One thing that made me happy was going to the air show this last weekend, I love seeing the military jets.",affection
88952,Finding out that my son and daughter in law are expecting their first baby made me very happy.,affection
88953,My son caught the ball in baseball and got the kid out. ,affection
88954,I went to my kids school family fun night and had a good time.,affection
88955,I went to an amusement park with my family,affection
88956,My family and I have been healthy and no one has gotten sick!,affection
88957,I went to trivia last night and we did very well despite not having a lot of our normal players,affection
88958,I ordered some snacks and they were really good.,achievement
88959,A couple of months ago I received my first fan letter from someone who loved my novel. ,achievement
88960,I sold things at a garage sale for the first time of the season.,achievement
88961,I visit my uncle's home he is working Army and I stay 5 day.,affection
88962,My boss gave me a card saying how much she appreciates my hard work.,achievement
88963,I graduated from the police academy. ,affection
88964,"A few months ago I discovered that I could have a trip to my brothers house with my girlfriend. for a decent amount of time after I'd finished my schooling, which I've done. I'm leaving in a couple days. ",achievement
88965,"Ozma was happy to have Dorothy beside her, for girls of her own age with whom it was proper for the Princess to associate were very few, and often the youthful Ruler of Oz was lonely for lack of companionship.
",affection
88966,I finished editing a book I'd been working on for the last month.,achievement
88967,"After being sick with high fever for two days, my one year old finally woke up with no fever and acting back to her normal self!  ",affection
88969,I got to go to the movies twice! Which is rare.,affection
88970,Planning my gf's daughter's 13th birthday party makes me happy,affection
88971,My cat who had been lost returned home.,affection
88972,I was able to work out very hard yesterday.,achievement
88973,I got one hit yesterday that was worth a lot. ,achievement
